algorithm,params,calinski,siluetas,file
k-means,2,1191.315493468736,0.5549867,2_exploratory_clustering.csv
k-means,3,1649.7352901557697,0.56305766,2_exploratory_clustering.csv
k-means,4,1552.367283358765,0.50113183,2_exploratory_clustering.csv
k-means,5,1484.2685176883006,0.49902517,2_exploratory_clustering.csv
k-means,6,1559.5105250461888,0.45024782,2_exploratory_clustering.csv
k-means,7,1538.1155463352093,0.45672008,2_exploratory_clustering.csv
k-means,8,1532.3563430330746,0.42196062,2_exploratory_clustering.csv
k-means,9,1479.15221600374,0.42866609,2_exploratory_clustering.csv
k-means,10,1455.1934240614107,0.41483366,2_exploratory_clustering.csv
k-means,11,1441.3495855026906,0.410377,2_exploratory_clustering.csv
k-means,12,1443.0354712637054,0.41488326,2_exploratory_clustering.csv
k-means,13,1446.7218617714836,0.39056984,2_exploratory_clustering.csv
k-means,14,1463.6594647655925,0.3969064,2_exploratory_clustering.csv
k-means,15,1441.6500516604865,0.38528544,2_exploratory_clustering.csv
k-means,16,1471.5446974390372,0.39092892,2_exploratory_clustering.csv
k-means,17,1488.7742714370506,0.39662123,2_exploratory_clustering.csv
k-means,18,1476.0799414295986,0.38385624,2_exploratory_clustering.csv
k-means,19,1521.318192097935,0.3954403,2_exploratory_clustering.csv
k-means,20,1527.7607504434825,0.40236208,2_exploratory_clustering.csv
k-means,21,1572.018474942717,0.40971896,2_exploratory_clustering.csv
k-means,22,1583.8256124149907,0.4052013,2_exploratory_clustering.csv
k-means,23,1567.264214425002,0.39753398,2_exploratory_clustering.csv
k-means,24,1598.9518801618956,0.39990637,2_exploratory_clustering.csv
k-means,25,1636.3375020339386,0.40994,2_exploratory_clustering.csv
k-means,26,1614.1605834370414,0.4055536,2_exploratory_clustering.csv
k-means,27,1659.1283016760813,0.41666317,2_exploratory_clustering.csv
k-means,28,1671.6874259102035,0.41308072,2_exploratory_clustering.csv
k-means,29,1651.9298036191003,0.4042024,2_exploratory_clustering.csv
Birch,2,1115.7410004028368,0.546378,2_exploratory_clustering.csv
Birch,3,668.7984939808758,0.49016622,2_exploratory_clustering.csv
Birch,4,1144.5160419165002,0.47147447,2_exploratory_clustering.csv
Birch,5,1307.8596888922905,0.48701885,2_exploratory_clustering.csv
Birch,6,1291.7314084804398,0.422496,2_exploratory_clustering.csv
Birch,7,1114.484499468877,0.42115858,2_exploratory_clustering.csv
Birch,8,1000.0037201406076,0.4246536,2_exploratory_clustering.csv
Birch,9,1129.679886592967,0.4251679,2_exploratory_clustering.csv
Birch,10,1110.8236753875894,0.4068037,2_exploratory_clustering.csv
Birch,11,1214.4698327182668,0.38850537,2_exploratory_clustering.csv
Birch,12,1249.8045839226777,0.39887494,2_exploratory_clustering.csv
Birch,13,1163.544348367077,0.39002913,2_exploratory_clustering.csv
Birch,14,1141.485596200227,0.37788245,2_exploratory_clustering.csv
Birch,15,1127.7844537622998,0.3714262,2_exploratory_clustering.csv
Birch,16,1145.3277480092004,0.3779036,2_exploratory_clustering.csv
Birch,17,1082.3067336419028,0.37540773,2_exploratory_clustering.csv
Birch,18,1054.1996736580054,0.3652072,2_exploratory_clustering.csv
Birch,19,1124.3584062447012,0.37692493,2_exploratory_clustering.csv
Birch,20,1115.3867171185918,0.36813718,2_exploratory_clustering.csv
Birch,21,1099.9313571758942,0.36617863,2_exploratory_clustering.csv
Birch,22,1095.1198629535158,0.36184287,2_exploratory_clustering.csv
Birch,23,1113.6634496258637,0.35353228,2_exploratory_clustering.csv
Birch,24,1106.054571973795,0.34948292,2_exploratory_clustering.csv
Birch,25,1096.4959131480234,0.3376652,2_exploratory_clustering.csv
Birch,26,1142.0196242576294,0.35471082,2_exploratory_clustering.csv
Birch,27,1199.8771510361353,0.3545286,2_exploratory_clustering.csv
Birch,28,1159.1599854709864,0.35201773,2_exploratory_clustering.csv
Birch,29,1134.5369340166017,0.35090002,2_exploratory_clustering.csv
Affinity,,1478.0427959722974,0.38710222,2_exploratory_clustering.csv
Mean Shift,,1101.2771326459808,0.49499184,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-2,1150.1994901725575,0.57645303,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-3,1601.299843950706,0.5576368,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-4,1358.3377545053054,0.45379817,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-5,1317.1687827775008,0.4476189,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-6,1442.0473543978812,0.4310883,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-7,1401.672882844205,0.4306556,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-8,1384.3854244547354,0.39118484,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-9,1335.7570322134004,0.3681606,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-10,1306.4192477871795,0.37443784,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-11,1274.290307912419,0.37182984,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-12,1257.0742812892631,0.35701218,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-13,1258.185641042323,0.34834328,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-14,1261.0183272185054,0.35540166,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-15,1275.3883013693592,0.3590282,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-16,1291.9140435464149,0.3408277,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-17,1321.6533920382612,0.34628096,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-18,1356.640574590342,0.3538116,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-19,1371.8656866170777,0.36271775,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-20,1383.994214134708,0.3715217,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-21,1396.9369168806502,0.37808338,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-22,1411.658775112541,0.38455012,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-23,1430.0372644598513,0.38030523,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-24,1443.9910532574656,0.38342035,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-25,1462.5938331333662,0.3864855,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-26,1488.9811274724532,0.3908626,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-27,1507.9215035286352,0.38853773,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-28,1521.8248950415552,0.3878594,2_exploratory_clustering.csv
Agglomerative,ward-euclidean-29,1532.514127851246,0.38851038,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-2,1112.944302075394,0.5451324,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-3,667.6191610786414,0.48873648,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-4,1112.622801817682,0.4742766,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-5,1260.4657169388963,0.4589945,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-6,1392.404360610035,0.42907125,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-7,1204.2795772388167,0.42747378,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-8,1215.5355437500516,0.42073593,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-9,1121.174973427726,0.42504874,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-10,1027.1475476498376,0.3938645,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-11,1111.8901965917862,0.39619502,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-12,1081.2635370943724,0.38526064,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-13,1112.404038680487,0.36215755,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-14,1122.7255128461488,0.36829233,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-15,1209.945729094287,0.37199762,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-16,1192.107112843711,0.37532634,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-17,1199.0791190481866,0.3647642,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-18,1251.3569042427316,0.34646925,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-19,1244.4991121958012,0.34202802,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-20,1292.3720470285232,0.35340592,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-21,1280.3017936935253,0.3563952,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-22,1260.6480784051637,0.35416347,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-23,1369.3889087369982,0.38145623,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-24,1357.1333417801177,0.37971088,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-25,1363.0134595631598,0.37203187,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-26,1329.7429472786357,0.36499667,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-27,1360.2196700047705,0.3690384,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-28,1327.0287155728606,0.36672676,2_exploratory_clustering.csv
Agglomerative,complete-euclidean-29,1426.774660885729,0.3831226,2_exploratory_clustering.csv
Agglomerative,complete-l1-3,1103.3844765295,0.4742272,2_exploratory_clustering.csv
Agglomerative,complete-l1-4,836.8593559608786,0.45017383,2_exploratory_clustering.csv
Agglomerative,complete-l1-5,1328.082786016556,0.46925247,2_exploratory_clustering.csv
Agglomerative,complete-l1-6,1109.852945915634,0.40104008,2_exploratory_clustering.csv
Agglomerative,complete-l1-7,953.3709230353112,0.39862305,2_exploratory_clustering.csv
Agglomerative,complete-l1-8,931.491746025706,0.3573136,2_exploratory_clustering.csv
Agglomerative,complete-l1-9,849.5148411478651,0.3611625,2_exploratory_clustering.csv
Agglomerative,complete-l1-10,925.2147509129096,0.36387125,2_exploratory_clustering.csv
Agglomerative,complete-l1-11,997.0222858289388,0.36456427,2_exploratory_clustering.csv
Agglomerative,complete-l1-12,1109.0887660108049,0.35940617,2_exploratory_clustering.csv
Agglomerative,complete-l1-13,1094.5555519786,0.33557662,2_exploratory_clustering.csv
Agglomerative,complete-l1-14,1134.469507352913,0.33611026,2_exploratory_clustering.csv
Agglomerative,complete-l1-15,1201.9986508002858,0.35355023,2_exploratory_clustering.csv
Agglomerative,complete-l1-16,1185.40594108541,0.33918142,2_exploratory_clustering.csv
Agglomerative,complete-l1-17,1145.6786019460003,0.32480833,2_exploratory_clustering.csv
Agglomerative,complete-l1-18,1210.6945191620362,0.33977944,2_exploratory_clustering.csv
Agglomerative,complete-l1-19,1191.5230403882142,0.34248865,2_exploratory_clustering.csv
Agglomerative,complete-l1-20,1193.7900053808285,0.34351984,2_exploratory_clustering.csv
Agglomerative,complete-l1-21,1264.1548408102185,0.36271724,2_exploratory_clustering.csv
Agglomerative,complete-l1-22,1219.1021552879895,0.36202523,2_exploratory_clustering.csv
Agglomerative,complete-l1-23,1298.299360873965,0.35933757,2_exploratory_clustering.csv
Agglomerative,complete-l1-24,1324.531821213007,0.34563857,2_exploratory_clustering.csv
Agglomerative,complete-l1-25,1308.238432387644,0.34407058,2_exploratory_clustering.csv
Agglomerative,complete-l1-26,1347.2312296156829,0.3520063,2_exploratory_clustering.csv
Agglomerative,complete-l1-27,1314.7549086543916,0.3502544,2_exploratory_clustering.csv
Agglomerative,complete-l1-28,1290.9950252720084,0.34890845,2_exploratory_clustering.csv
Agglomerative,complete-l1-29,1280.2442586487098,0.34831417,2_exploratory_clustering.csv
Agglomerative,complete-l2-2,1112.944302075394,0.5451324,2_exploratory_clustering.csv
Agglomerative,complete-l2-3,667.6191610786414,0.48873648,2_exploratory_clustering.csv
Agglomerative,complete-l2-4,1112.622801817682,0.4742766,2_exploratory_clustering.csv
Agglomerative,complete-l2-5,1260.4657169388963,0.4589945,2_exploratory_clustering.csv
Agglomerative,complete-l2-6,1392.404360610035,0.42907125,2_exploratory_clustering.csv
Agglomerative,complete-l2-7,1204.2795772388167,0.42747378,2_exploratory_clustering.csv
Agglomerative,complete-l2-8,1215.5355437500516,0.42073593,2_exploratory_clustering.csv
Agglomerative,complete-l2-9,1121.174973427726,0.42504874,2_exploratory_clustering.csv
Agglomerative,complete-l2-10,1027.1475476498376,0.3938645,2_exploratory_clustering.csv
Agglomerative,complete-l2-11,1111.8901965917862,0.39619502,2_exploratory_clustering.csv
Agglomerative,complete-l2-12,1081.2635370943724,0.38526064,2_exploratory_clustering.csv
Agglomerative,complete-l2-13,1112.404038680487,0.36215755,2_exploratory_clustering.csv
Agglomerative,complete-l2-14,1122.7255128461488,0.36829233,2_exploratory_clustering.csv
Agglomerative,complete-l2-15,1209.945729094287,0.37199762,2_exploratory_clustering.csv
Agglomerative,complete-l2-16,1192.107112843711,0.37532634,2_exploratory_clustering.csv
Agglomerative,complete-l2-17,1199.0791190481866,0.3647642,2_exploratory_clustering.csv
Agglomerative,complete-l2-18,1251.3569042427316,0.34646925,2_exploratory_clustering.csv
Agglomerative,complete-l2-19,1244.4991121958012,0.34202802,2_exploratory_clustering.csv
Agglomerative,complete-l2-20,1292.3720470285232,0.35340592,2_exploratory_clustering.csv
Agglomerative,complete-l2-21,1280.3017936935253,0.3563952,2_exploratory_clustering.csv
Agglomerative,complete-l2-22,1260.6480784051637,0.35416347,2_exploratory_clustering.csv
Agglomerative,complete-l2-23,1369.3889087369982,0.38145623,2_exploratory_clustering.csv
Agglomerative,complete-l2-24,1357.1333417801177,0.37971088,2_exploratory_clustering.csv
Agglomerative,complete-l2-25,1363.0134595631598,0.37203187,2_exploratory_clustering.csv
Agglomerative,complete-l2-26,1329.7429472786357,0.36499667,2_exploratory_clustering.csv
Agglomerative,complete-l2-27,1360.2196700047705,0.3690384,2_exploratory_clustering.csv
Agglomerative,complete-l2-28,1327.0287155728606,0.36672676,2_exploratory_clustering.csv
Agglomerative,complete-l2-29,1426.774660885729,0.3831226,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-3,1103.3844765295,0.4742272,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-4,836.8593559608786,0.45017383,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-5,1328.082786016556,0.46925247,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-6,1109.852945915634,0.40104008,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-7,953.3709230353112,0.39862305,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-8,931.491746025706,0.3573136,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-9,849.5148411478651,0.3611625,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-10,925.2147509129096,0.36387125,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-11,997.0222858289388,0.36456427,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-12,1109.0887660108049,0.35940617,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-13,1094.5555519786,0.33557662,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-14,1134.469507352913,0.33611026,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-15,1201.9986508002858,0.35355023,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-16,1185.40594108541,0.33918142,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-17,1145.6786019460003,0.32480833,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-18,1210.6945191620362,0.33977944,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-19,1191.5230403882142,0.34248865,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-20,1193.7900053808285,0.34351984,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-21,1264.1548408102185,0.36271724,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-22,1219.1021552879895,0.36202523,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-23,1298.299360873965,0.35933757,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-24,1324.531821213007,0.34563857,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-25,1308.238432387644,0.34407058,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-26,1347.2312296156829,0.3520063,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-27,1314.7549086543916,0.3502544,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-28,1290.9950252720084,0.34890845,2_exploratory_clustering.csv
Agglomerative,complete-manhattan-29,1280.2442586487098,0.34831417,2_exploratory_clustering.csv
Agglomerative,complete-cosine-2,1187.3763898578104,0.5538663,2_exploratory_clustering.csv
Agglomerative,complete-cosine-3,979.2751826369577,0.38608086,2_exploratory_clustering.csv
Agglomerative,complete-cosine-4,1036.344459703586,0.36946824,2_exploratory_clustering.csv
Agglomerative,complete-cosine-5,800.6818860008364,0.30748737,2_exploratory_clustering.csv
Agglomerative,complete-cosine-6,782.3685479453528,0.28386593,2_exploratory_clustering.csv
Agglomerative,complete-cosine-7,754.4674845654271,0.22710621,2_exploratory_clustering.csv
Agglomerative,complete-cosine-8,651.6871547266963,0.20633921,2_exploratory_clustering.csv
Agglomerative,average-euclidean-2,1127.904690673293,0.57526016,2_exploratory_clustering.csv
Agglomerative,average-euclidean-3,757.6091702672558,0.49144816,2_exploratory_clustering.csv
Agglomerative,average-euclidean-4,1359.1269588028515,0.54751503,2_exploratory_clustering.csv
Agglomerative,average-euclidean-5,1043.3291363637295,0.53874236,2_exploratory_clustering.csv
Agglomerative,average-euclidean-6,856.9001788813912,0.53321195,2_exploratory_clustering.csv
Agglomerative,average-euclidean-7,845.0981720909235,0.46565694,2_exploratory_clustering.csv
Agglomerative,average-euclidean-8,908.8418947236833,0.432989,2_exploratory_clustering.csv
Agglomerative,average-euclidean-9,1085.7865380524709,0.4221262,2_exploratory_clustering.csv
Agglomerative,average-euclidean-10,970.8810017326322,0.40842587,2_exploratory_clustering.csv
Agglomerative,average-euclidean-11,1144.378610509645,0.40443543,2_exploratory_clustering.csv
Agglomerative,average-euclidean-12,1045.3893715214351,0.39519146,2_exploratory_clustering.csv
Agglomerative,average-euclidean-13,1064.4745732463157,0.40260744,2_exploratory_clustering.csv
Agglomerative,average-euclidean-14,1025.1134352483798,0.3923609,2_exploratory_clustering.csv
Agglomerative,average-euclidean-15,1011.5154305950116,0.38659033,2_exploratory_clustering.csv
Agglomerative,average-euclidean-16,965.899511940339,0.3808268,2_exploratory_clustering.csv
Agglomerative,average-euclidean-17,1015.2000542329952,0.38114038,2_exploratory_clustering.csv
Agglomerative,average-euclidean-18,1034.728599995161,0.38812524,2_exploratory_clustering.csv
Agglomerative,average-euclidean-19,1092.949186633754,0.38962612,2_exploratory_clustering.csv
Agglomerative,average-euclidean-20,1128.515959376616,0.39789367,2_exploratory_clustering.csv
Agglomerative,average-euclidean-21,1099.0297304307314,0.39265653,2_exploratory_clustering.csv
Agglomerative,average-euclidean-22,1048.5269671101737,0.3899676,2_exploratory_clustering.csv
Agglomerative,average-euclidean-23,1010.0733928481832,0.3837607,2_exploratory_clustering.csv
Agglomerative,average-euclidean-24,980.9975154289814,0.36652678,2_exploratory_clustering.csv
Agglomerative,average-euclidean-25,1026.1033739367513,0.3649815,2_exploratory_clustering.csv
Agglomerative,average-euclidean-26,1011.2024010290504,0.36917636,2_exploratory_clustering.csv
Agglomerative,average-euclidean-27,998.3374634918504,0.36707312,2_exploratory_clustering.csv
Agglomerative,average-euclidean-28,1128.9728365364383,0.36419183,2_exploratory_clustering.csv
Agglomerative,average-euclidean-29,1123.5864022840842,0.3576956,2_exploratory_clustering.csv
Agglomerative,average-l1-3,813.7279747282117,0.47532842,2_exploratory_clustering.csv
Agglomerative,average-l1-6,837.1918759518653,0.49743018,2_exploratory_clustering.csv
Agglomerative,average-l1-7,825.3517048766556,0.4370006,2_exploratory_clustering.csv
Agglomerative,average-l1-8,711.8109329404607,0.38615412,2_exploratory_clustering.csv
Agglomerative,average-l1-9,869.8765326372765,0.42067316,2_exploratory_clustering.csv
Agglomerative,average-l1-10,1123.627300999587,0.4304231,2_exploratory_clustering.csv
Agglomerative,average-l1-11,1017.7550968975164,0.4159677,2_exploratory_clustering.csv
Agglomerative,average-l1-12,1015.8617851254428,0.41995907,2_exploratory_clustering.csv
Agglomerative,average-l1-13,977.9404408150706,0.38903823,2_exploratory_clustering.csv
Agglomerative,average-l1-14,935.5550841933718,0.3798923,2_exploratory_clustering.csv
Agglomerative,average-l1-15,895.3200209345272,0.3675915,2_exploratory_clustering.csv
Agglomerative,average-l1-16,1009.6493944399192,0.38623658,2_exploratory_clustering.csv
Agglomerative,average-l1-17,1038.7102171271918,0.37157625,2_exploratory_clustering.csv
Agglomerative,average-l1-18,1004.3237936725312,0.36525202,2_exploratory_clustering.csv
Agglomerative,average-l1-19,1030.162686014747,0.38016495,2_exploratory_clustering.csv
Agglomerative,average-l1-20,1060.5595848779014,0.3863767,2_exploratory_clustering.csv
Agglomerative,average-l1-21,1028.745701739624,0.38126758,2_exploratory_clustering.csv
Agglomerative,average-l1-22,1052.0190878321655,0.36966056,2_exploratory_clustering.csv
Agglomerative,average-l1-23,1005.9780901744956,0.3671497,2_exploratory_clustering.csv
Agglomerative,average-l1-24,986.649564584196,0.369626,2_exploratory_clustering.csv
Agglomerative,average-l1-25,1033.2916259031213,0.37677187,2_exploratory_clustering.csv
Agglomerative,average-l1-26,1083.7127103946436,0.37053803,2_exploratory_clustering.csv
Agglomerative,average-l1-27,1234.0802992092051,0.36642435,2_exploratory_clustering.csv
Agglomerative,average-l1-28,1210.2248461432036,0.3666515,2_exploratory_clustering.csv
Agglomerative,average-l1-29,1181.857540883169,0.36497635,2_exploratory_clustering.csv
Agglomerative,average-l2-2,1127.904690673293,0.57526016,2_exploratory_clustering.csv
Agglomerative,average-l2-3,757.6091702672558,0.49144816,2_exploratory_clustering.csv
Agglomerative,average-l2-4,1359.1269588028515,0.54751503,2_exploratory_clustering.csv
Agglomerative,average-l2-5,1043.3291363637295,0.53874236,2_exploratory_clustering.csv
Agglomerative,average-l2-6,856.9001788813912,0.53321195,2_exploratory_clustering.csv
Agglomerative,average-l2-7,845.0981720909235,0.46565694,2_exploratory_clustering.csv
Agglomerative,average-l2-8,908.8418947236833,0.432989,2_exploratory_clustering.csv
Agglomerative,average-l2-9,1085.7865380524709,0.4221262,2_exploratory_clustering.csv
Agglomerative,average-l2-10,970.8810017326322,0.40842587,2_exploratory_clustering.csv
Agglomerative,average-l2-11,1144.378610509645,0.40443543,2_exploratory_clustering.csv
Agglomerative,average-l2-12,1045.3893715214351,0.39519146,2_exploratory_clustering.csv
Agglomerative,average-l2-13,1064.4745732463157,0.40260744,2_exploratory_clustering.csv
Agglomerative,average-l2-14,1025.1134352483798,0.3923609,2_exploratory_clustering.csv
Agglomerative,average-l2-15,1011.5154305950116,0.38659033,2_exploratory_clustering.csv
Agglomerative,average-l2-16,965.899511940339,0.3808268,2_exploratory_clustering.csv
Agglomerative,average-l2-17,1015.2000542329952,0.38114038,2_exploratory_clustering.csv
Agglomerative,average-l2-18,1034.728599995161,0.38812524,2_exploratory_clustering.csv
Agglomerative,average-l2-19,1092.949186633754,0.38962612,2_exploratory_clustering.csv
Agglomerative,average-l2-20,1128.515959376616,0.39789367,2_exploratory_clustering.csv
Agglomerative,average-l2-21,1099.0297304307314,0.39265653,2_exploratory_clustering.csv
Agglomerative,average-l2-22,1048.5269671101737,0.3899676,2_exploratory_clustering.csv
Agglomerative,average-l2-23,1010.0733928481832,0.3837607,2_exploratory_clustering.csv
Agglomerative,average-l2-24,980.9975154289814,0.36652678,2_exploratory_clustering.csv
Agglomerative,average-l2-25,1026.1033739367513,0.3649815,2_exploratory_clustering.csv
Agglomerative,average-l2-26,1011.2024010290504,0.36917636,2_exploratory_clustering.csv
Agglomerative,average-l2-27,998.3374634918504,0.36707312,2_exploratory_clustering.csv
Agglomerative,average-l2-28,1128.9728365364383,0.36419183,2_exploratory_clustering.csv
Agglomerative,average-l2-29,1123.5864022840842,0.3576956,2_exploratory_clustering.csv
Agglomerative,average-manhattan-3,813.7279747282117,0.47532842,2_exploratory_clustering.csv
Agglomerative,average-manhattan-6,837.1918759518653,0.49743018,2_exploratory_clustering.csv
Agglomerative,average-manhattan-7,825.3517048766556,0.4370006,2_exploratory_clustering.csv
Agglomerative,average-manhattan-8,711.8109329404607,0.38615412,2_exploratory_clustering.csv
Agglomerative,average-manhattan-9,869.8765326372765,0.42067316,2_exploratory_clustering.csv
Agglomerative,average-manhattan-10,1123.627300999587,0.4304231,2_exploratory_clustering.csv
Agglomerative,average-manhattan-11,1017.7550968975164,0.4159677,2_exploratory_clustering.csv
Agglomerative,average-manhattan-12,1015.8617851254428,0.41995907,2_exploratory_clustering.csv
Agglomerative,average-manhattan-13,977.9404408150706,0.38903823,2_exploratory_clustering.csv
Agglomerative,average-manhattan-14,935.5550841933718,0.3798923,2_exploratory_clustering.csv
Agglomerative,average-manhattan-15,895.3200209345272,0.3675915,2_exploratory_clustering.csv
Agglomerative,average-manhattan-16,1009.6493944399192,0.38623658,2_exploratory_clustering.csv
Agglomerative,average-manhattan-17,1038.7102171271918,0.37157625,2_exploratory_clustering.csv
Agglomerative,average-manhattan-18,1004.3237936725312,0.36525202,2_exploratory_clustering.csv
Agglomerative,average-manhattan-19,1030.162686014747,0.38016495,2_exploratory_clustering.csv
Agglomerative,average-manhattan-20,1060.5595848779014,0.3863767,2_exploratory_clustering.csv
Agglomerative,average-manhattan-21,1028.745701739624,0.38126758,2_exploratory_clustering.csv
Agglomerative,average-manhattan-22,1052.0190878321655,0.36966056,2_exploratory_clustering.csv
Agglomerative,average-manhattan-23,1005.9780901744956,0.3671497,2_exploratory_clustering.csv
Agglomerative,average-manhattan-24,986.649564584196,0.369626,2_exploratory_clustering.csv
Agglomerative,average-manhattan-25,1033.2916259031213,0.37677187,2_exploratory_clustering.csv
Agglomerative,average-manhattan-26,1083.7127103946436,0.37053803,2_exploratory_clustering.csv
Agglomerative,average-manhattan-27,1234.0802992092051,0.36642435,2_exploratory_clustering.csv
Agglomerative,average-manhattan-28,1210.2248461432036,0.3666515,2_exploratory_clustering.csv
Agglomerative,average-manhattan-29,1181.857540883169,0.36497635,2_exploratory_clustering.csv
Agglomerative,average-cosine-2,1072.231875546651,0.56718075,2_exploratory_clustering.csv
Agglomerative,average-cosine-3,1445.3488739717914,0.52475107,2_exploratory_clustering.csv
Agglomerative,average-cosine-4,1052.189388062391,0.38612673,2_exploratory_clustering.csv
Agglomerative,average-cosine-5,802.4054610168331,0.31366432,2_exploratory_clustering.csv
Agglomerative,average-cosine-6,789.7092993277731,0.2965198,2_exploratory_clustering.csv
Agglomerative,average-cosine-7,759.9387286312851,0.25911885,2_exploratory_clustering.csv
Agglomerative,average-cosine-8,660.2726846176629,0.23272142,2_exploratory_clustering.csv
